,increase_5%,increase_2%
184,8.754764148761751e-10,2.2182651100592923e-09
185,5.8324526704382146e-08,1.473922509467229e-07
186,0.0,0.0
187,0.0,0.0
188,1.675970606811461e-10,4.4799589295507756e-10
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,1.4694065662013145e-12,3.695818209692447e-12
195,3.58862451321329e-10,9.069998077393392e-10
196,-9.096727248106617e-09,-2.28948035146459e-08
197,3.0269775743363425e-09,7.981654795003123e-09
198,9.809210414459812e-10,2.477753934726934e-09
199,1.7322544454145828e-10,4.37652130585775e-10
200,-5.811370861526915e-18,-1.467948977434616e-17
201,7.330234382152412e-12,1.851719588330525e-11
202,7.37640266379458e-10,1.8623164305608953e-09
203,4.7023088995956647e-11,1.1878733118919627e-10
204,0.0,0.0
205,2.17370916652726e-09,5.495214765687706e-09
206,1.1665899073705077e-08,2.9469361033989116e-08
207,4.169059620471671e-08,1.0531489097047598e-07
208,-9.684969271006594e-15,1.2906538060519779e-15
209,1.1631095730990638e-13,2.9359716791077515e-13
210,3.8519239387824203e-10,1.0224420657323208e-09
211,1.2213802756377845e-10,3.0990905179351107e-10
212,6.584970706171589e-10,1.6672161236783721e-09
213,3.075666309450753e-08,7.768952896003611e-08
214,0.0,0.0
215,3.03442685662958e-11,7.732257063253201e-11
216,8.15778326796135e-10,2.0754728684551085e-09
217,3.208447352517396e-08,8.161182183539494e-08
218,7.759370764688356e-10,1.975826671696268e-09
219,3.7468785769306124e-08,9.970593522302807e-08
220,2.1617013844661417e-07,5.477276835590601e-07
221,0.0,0.0
222,1.5501953940838576e-07,4.0725877811200917e-07
223,1.656837029258895e-09,4.195195223019255e-09
224,4.266310448292643e-08,1.0779719054698944e-07
225,7.25750751371379e-11,1.8345948433307057e-10
226,2.0573351718485356e-07,5.218568865675479e-07
227,8.35456620552577e-09,2.3450178938219325e-08
228,2.200010213709902e-08,5.655776306230109e-08
229,1.2755683819705154e-09,3.2167262506845875e-09
230,1.8134870115318337e-09,4.590561067743693e-09
231,1.333680935204029e-09,3.3830642205430195e-09
232,-1.260358726605773e-06,-3.176115259993821e-06
233,4.313819533763308e-11,1.1097696011574953e-10
234,4.83349411864765e-07,1.2198647792683913e-06
235,1.7868424877524376e-06,4.776325464248657e-06
236,3.924571711104363e-08,1.0027800634270534e-07
237,1.2302261657168856e-09,2.8032133013766727e-09
238,-1.0403115241475192e-13,1.832398172085803e-14
239,0.0,0.0
240,7.709102916123811e-09,1.95978830124659e-08
241,8.711697246326366e-10,2.5544823620293754e-09
242,1.8232273214380258e-10,5.014836619920971e-10
243,8.362080807273742e-10,2.1278680051182166e-09
244,3.8656642136629675e-09,9.939418167050461e-09
245,1.2578582332935184e-08,3.163736576971132e-08
246,2.5240190542064055e-12,6.4864760176419625e-12
247,9.023008002259303e-09,2.3012625715637112e-08
248,1.9631649352959358e-08,4.98152174113784e-08
249,9.505420259665699e-08,2.407030976610258e-07
250,3.6691706045530737e-09,9.319424396380782e-09
251,2.2364933975040914e-08,5.877211978076957e-08
252,4.932728828862309e-09,1.2725325344945305e-08
253,1.2655353260925038e-08,3.219469150644727e-08
254,5.126273026689887e-10,2.147459534171503e-09
255,2.021485626755748e-09,5.229678536124994e-09
256,8.098206482827663e-09,2.0586407277733088e-08
257,3.0931357432564256e-09,7.966837030835449e-09
258,2.0953362691216174e-09,5.293492922646691e-09
259,1.8589472798630594e-06,4.698849588632583e-06
260,1.7159062353894113e-06,4.341982703655958e-06
261,0.0,0.0
262,6.321147334347188e-10,1.6002984139049657e-09
263,2.325677560577333e-11,5.883910019122141e-11
264,8.297820185543969e-08,2.1012121689273042e-07
265,3.0221204795566335e-11,7.645781273879492e-11
266,3.943579187648538e-13,9.982119979490279e-13
267,0.0,0.0
268,0.0,0.0
269,2.2818065617546957e-14,5.78237108889157e-14
270,7.117938082501496e-12,1.8084862205114402e-11
271,2.0084619427507278e-10,5.10701682742365e-10
272,3.7514105497393756e-10,9.541195131532732e-10
273,0.0,0.0
274,1.1038038786500693e-07,2.7925149141810835e-07
275,3.4878203459084036e-07,8.758633248507977e-07
276,2.099152319715358e-09,5.3254800295690075e-09
